NAME_LAT,obl,urban,turnout,untru,Gritsenko,Litvin,Simonenko,Timoshenko,Tigipko,Tyagnibok,Yushchenko,Yanukovich_ratio,Yanukovich,Yatsenyuk,agall,ukrlan,ruslan,ukrpop,ruspop,physical_dist,rail_dist,auto_dist,pop,sqkm,pop2013,citypop2013,ruralpop2013,pop2013average,Population,citypop2013average,ruralpop2013average,pctprofit,Distance,Russian_ratio,Area,Density,Salary,distance_100,density_100,salary_100,population_100,Activism_ratio,Russian_ratio2,ruspop2,cap_arm._first_war,cap_art._first_war,cap_roc._first_war,lost_air._first_war,lost_arm._first_war,lost_art._first_war,lost_roc._first_war,cap_arm._second_war,cap_art._second_war,cap_roc._second_war,lost_air._second_war,lost_arm._second_war,lost_art._second_war,lost_roc._second_war,lost_no_air_all
Kostiantynivska,1,1,0.597671062,0.008049052,0.0026988,0.007883336,0.074595772,0.039369333,0.086882413,0.001893895,0.007196799,0.716673374,71.6673374,0.025543903,0.014393599,0.21,0.781,0.593,0.377,563,680,570,94886,66.04,76261,76261,0,76663,76663,76663,0,72.2,570,0.781,66.04,1436.795881,2885,0.57,0.143679588,0.2885,0.076663,0.597671062,0.609961,0.142129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostiantynivskyi,1,0,0.816385786,0.008813979,0.001778259,0.010824184,0.044920365,0.049018092,0.059146436,0.002319468,0.010978816,0.763723519,76.3723519,0.030539663,0.008891294,0.698,0.294,0.773,0.199,561.53,680,661.61,21132,1172.72,18938,0,18938,19049,19049,0,19049,73.1,661.61,0.294,1172.72,18.01964663,2948,0.66161,0.001801965,0.2948,0.019049,0.816385786,0.086436,0.039601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kramatorska,1,1,0.691688065,0.009378988,0.005291855,0.005086606,0.03638262,0.058058701,0.099295907,0.002454064,0.008602611,0.70870702,70.870702,0.035195745,0.019132778,0.356,0.633,0.702,0.269,540,748,655,215729,305.24,196492,195747,745,197122,197122,196377,745,70.9,655,0.633,305.24,706.7520639,3603,0.655,0.070675206,0.3603,0.197122,0.691688065,0.400689,0.072361,4,0,0,1,1,0,0,0,0,0,1,0,0,0,1
Krasnoarmiiska,1,1,0.684517362,0.00611998,0.002792386,0.008819286,0.063014846,0.049564853,0.077372365,0.002117559,0.006538837,0.731558617,73.1558617,0.023456043,0.015544283,0.371,0.622,0.75,0.221,537,735,626,82830,39.3,77021,77021,0,77200,77200,77200,0,70.3,626,0.622,39.3,2107.633588,4818,0.626,0.210763359,0.4818,0.0772,0.684517362,0.386884,0.048841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krasnoarmiiskyi,1,0,0.784506933,0.007198531,0.002631187,0.0065035,0.063644939,0.055105992,0.063793874,0.002531897,0.006255275,0.740207516,74.0207516,0.030630988,0.011567294,0.741,0.255,0.868,0.113,538.53,735,634.89,37567,1315,31529,7279,24250,31793,31793,7318,24475,73,634.89,0.255,1315,28.56806084,3535,0.63489,0.002856806,0.3535,0.031793,0.784506933,0.065025,0.012769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Krasnodonska,2,1,0.681882006,0.012681253,0.002162162,0.005817246,0.037014157,0.075847276,0.092835693,0.001973402,0.006881167,0.722368082,72.2368082,0.015546976,0.017829258,0.083,0.911,0.332,0.633,708.58,NA,864.44,49921,77.33,103221,101969,1252,103576,103576,102317,1259,56.3,864.44,0.911,77.33,645.5579982,3856,0.86444,0.0645558,0.3856,0.103576,0.681882006,0.829921,0.400689,3,0,0,1,7,5,0,0,0,0,0,0,0,0,12
Krasnodonskyi,2,0,0.73685541,0.007833047,0.001829617,0.005431675,0.058890795,0.064551172,0.092281304,0.001257862,0.008633505,0.722298456,72.2298456,0.01726701,0.011263579,0.273,0.723,0.459,0.517,704.15,NA,857.62,29966,1386.13,29526,9987,19539,29609,29609,9995,19614,72.8,857.62,0.723,1386.13,21.61846291,2378,0.85762,0.002161846,0.2378,0.029609,0.73685541,0.522729,0.267289,3,0,0,1,29,0,0,0,0,0,0,0,0,0,29
Krasnolutska,2,1,0.652592929,0.016583193,0.001467767,0.00557494,0.042616745,0.061890844,0.066770526,0.001403391,0.006604952,0.753016004,75.3016004,0.022183883,0.013197028,0.147,0.836,0.492,0.461,662.34,NA,784,94756,153.56,122964,122179,785,123411,123411,122620,791,68.8,784,0.836,153.56,617.0617348,3425,0.784,0.061706173,0.3425,0.123411,0.652592929,0.698896,0.212521,11,3,1,0,13,1,1,2,0,0,0,0,0,0,15
Krasnolymanska,1,1,0.699218064,0.014764089,0.003141295,0.004272162,0.077527172,0.034177295,0.045360307,0.001947603,0.007727587,0.75749199,75.749199,0.032543821,0.013004963,0.704,0.291,0.844,0.138,545,730,650,28996,20,23412,22419,993,23454,23454,22464,990,66.9,650,0.291,20,1449.8,3205,0.65,0.14498,0.3205,0.023454,0.699218064,0.084681,0.019044,1,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Krasnolymanskyi,1,0,0.742077594,0.00976418,0.00293646,0.007243557,0.054550542,0.046001523,0.062754499,0.001925596,0.007271191,0.758725523,75.8725523,0.028182534,0.011201281,0.822,0.17,0.833,0.15,548.43,730,655.25,24974,1018,21664,11046,10618,21773,21773,11090,10683,58.4,655.25,0.17,1018,24.5324165,3205,0.65525,0.002453242,0.3205,0.021773,0.742077594,0.0289,0.0225,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
